,Name,Title,Link,Picture
0,Amal Ahmed,Associate Professor,https://www.khoury.northeastern.edu/people/amal-ahmed/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/03/Amal-Ahmed-Index-Image.jpg
1,Christopher Amato,Assistant Professor,https://www.khoury.northeastern.edu/people/chris-amato/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/08/Amato_Chris-index-image.jpg
2,Javed Aslam,Professor,https://www.khoury.northeastern.edu/people/jay-javed-aslam/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Javed-Aslam-index-image-e1456779428335.jpg
3,Kenneth Baclawski,Associate Professor Emeritus,https://www.khoury.northeastern.edu/people/kenneth-baclawski/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Kenneth-Baclawski-index-image-e1456779323580.jpg
4,Albert-László Barabási,Robert Gray Dodge Professor of Network Science,https://www.khoury.northeastern.edu/people/albert-laszlo-barabasi/,https://www.khoury.northeastern.edu/wp-content/uploads/2015/12/barabasi-index.jpg
5,Timothy W. Bickmore,Professor,https://www.khoury.northeastern.edu/people/timothy-bickmore/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Timothy-Bickmore-index-image.jpg
6,Michelle Borkin,Assistant Professor,https://www.khoury.northeastern.edu/people/michelle-borkin/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Michelle-Borkin-index-image.jpg
7,Carla E. Brodley,Dean - Khoury College of Computer Sciences,https://www.khoury.northeastern.edu/people/carla-brodley/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Carla-Brodley-index-image-e1456779225742.jpg
8,Agnes H. Chan,Professor Emeritus,https://www.khoury.northeastern.edu/people/agnes-chan/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Agnes-Chan-index-image-e1456779295334.jpg
9,David Choffnes,Associate Professor,https://www.khoury.northeastern.edu/people/david-choffnes/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/03/David-Choffnes-Index-Image.jpg
10,William D. Clinger,Professor Emeritus,https://www.khoury.northeastern.edu/people/william-d-clinger/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/William-Clinger-index-image.jpg
11,Seth Cooper,Assistant Professor,https://www.khoury.northeastern.edu/people/seth-cooper/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Seth-Cooper-index-image.jpg
12,Gene Cooperman,Professor,https://www.khoury.northeastern.edu/people/gene-cooperman/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Gene-Cooperman-index-image-e1456779126336.jpg
13,Peter Desnoyers,Associate Professor,https://www.khoury.northeastern.edu/people/peter-desnoyers/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Peter-Desnoyers-index-image-e1456759566934.jpg
14,Cody Dunne,Assistant Professor,https://www.khoury.northeastern.edu/people/cody-dunne/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/09/Dunne_Cody-index-image.jpg
15,Ehsan Elhamifar,Assistant Professor,https://www.khoury.northeastern.edu/people/ehsan-elhamifar/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/linderpix-NEU-5502-web-bio-photo.jpg
16,Tina Eliassi-Rad,Associate Professor,https://www.khoury.northeastern.edu/people/tina-eliassi-rad/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Eliassi-Rad_Tina-index-image-1.jpg
17,Don Fallis,Professor of Philosophy and Computer Sciences,https://www.khoury.northeastern.edu/people/don-fallis/,https://www.khoury.northeastern.edu/wp-content/uploads/2019/02/donf25-839x1024-e1556114115240.jpg
18,Matthias Felleisen,Trustee Professor,https://www.khoury.northeastern.edu/people/matthias-felleisen/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Matthias-Felleisen-index-image-e1456779017397.jpg
19,Larry Finkelstein,Professor Emeritus,https://www.khoury.northeastern.edu/people/larry-finkelstein/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Larry-Finkelstein-index-image-e1456759281894.jpg
20,Yun (Raymond) Fu,Professor,https://www.khoury.northeastern.edu/people/raymond-yun-fu/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Raymond-Fu-index-image.jpg
21,Wolfgang Gatterbauer,Associate Professor,https://www.khoury.northeastern.edu/people/wolfgang-gatterbauer/,https://www.khoury.northeastern.edu/wp-content/uploads/2017/08/linderpix-NEU-56875-index.jpg
22,Matthew Goodwin,Associate Professor,https://www.khoury.northeastern.edu/people/matthew-goodwin/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Matthew-Goodwin-index-image.jpg
23,Paul Hand,Assistant Professor,https://www.khoury.northeastern.edu/people/paul-hand/,https://www.khoury.northeastern.edu/wp-content/uploads/2018/08/linderpix-NEU-8496-crop.jpg
24,Woodrow Hartzog,Professor,https://www.khoury.northeastern.edu/people/woodrow-hartzog/,https://www.khoury.northeastern.edu/wp-content/uploads/2017/08/linderpix-NEU-56973-crop.jpg
25,Stephen Intille,Associate Professor,https://www.khoury.northeastern.edu/people/stephen-intille/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Stephen-Intille-index-image.jpg
26,Engin Kirda,Professor,https://www.khoury.northeastern.edu/people/engin-kirda/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/03/Engin-Kirda-Index-Image.jpg
27,David Lazer,Distinguished Professor,https://www.khoury.northeastern.edu/people/david-lazer/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/03/David-Lazer-index-image.jpg
28,Karl Lieberherr,Professor,https://www.khoury.northeastern.edu/people/karl-lieberherr/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Kari-Lieberherr-headshot-image.jpg
29,Long Lu,Assistant Professor,https://www.khoury.northeastern.edu/people/long-lu/,https://www.khoury.northeastern.edu/wp-content/uploads/2017/08/linderpix-NEU-57096-crop.jpg
30,Panagiotos (Pete) Manolios,Professor,https://www.khoury.northeastern.edu/people/panagiotos-manolios/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Pete-Manolios-index-image-e1456759585514.jpg
31,Stacy C. Marsella,Professor,https://www.khoury.northeastern.edu/people/stacy-c-marsella/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/03/Stacy-Marsella-Index-Image.jpg
32,Renée Miller,University Distinguished Professor,https://www.khoury.northeastern.edu/people/renee-miller/,https://www.khoury.northeastern.edu/wp-content/uploads/2018/01/no-photo4.jpg
33,Alan Mislove,Professor,https://www.khoury.northeastern.edu/people/alan-mislove/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Alan-Mislove_cropped-headshot.jpg
34,Huy Lê Nguyen,Assistant Professor,https://www.khoury.northeastern.edu/people/huy-le-nguyen/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/08/Nguyen_Huy-index-image.jpg
35,Cristina Nita-Rotaru,Professor,https://www.khoury.northeastern.edu/people/cristina-nita-rotaru/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Cristina-Nita-Rotaru-index-image-e1456779197640.jpg
36,Guevara Noubir,Professor,https://www.khoury.northeastern.edu/people/guevara-noubir/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Guevara-Noubir-index-image-e1456779093303.jpg
37,Alina Oprea,Associate Professor,https://www.khoury.northeastern.edu/people/alina-oprea/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/08/Oprea_Alina-index-image.jpg
38,Andrea Grimes Parker,Assistant Professor,https://www.khoury.northeastern.edu/people/andrea-grimes-parker/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Andrea-Parker-index-image-e1456779254698.jpg
39,Rupal Patel,Professor,https://www.khoury.northeastern.edu/people/rupal-patel/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/03/Rupal-Patel-index-image.jpg
40,Robert Platt,Associate Professor,https://www.khoury.northeastern.edu/people/robert-platt/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Rob-Platt-index-image-e1456759522529.jpg
41,Predrag Radivojac,Professor,https://www.khoury.northeastern.edu/people/predrag-radivojac/,https://www.khoury.northeastern.edu/wp-content/uploads/2018/08/linderpix-NEU-9299-crop.jpg
42,Rajmohan Rajaraman,Professor,https://www.khoury.northeastern.edu/people/rajmohan-rajaraman/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/03/Rajmohan-Rajaraman-Index-Image.jpg
43,Aanjhan Ranganathan,Assistant Professor,https://www.khoury.northeastern.edu/people/aanjhan-ranganathan/,https://www.khoury.northeastern.edu/wp-content/uploads/2017/08/IMG_4378-2-index.jpg
44,Richard Rasala,Professor Emeritus,https://www.khoury.northeastern.edu/people/richard-rasala/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Richard-Rasala-index-image-e1456759549135.jpg
45,Mirek Riedewald,Associate Professor,https://www.khoury.northeastern.edu/people/mirek-riedewald/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/linderpix-NEU-55350-crop.jpg
46,Christoph Riedl,Associate Professor,https://www.khoury.northeastern.edu/people/christoph-riedl/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Christoph-Riedl-index-image.jpg
47,William Robertson,Associate Professor,https://www.khoury.northeastern.edu/people/william-robertson/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/William-Robertson-index-image.jpg
48,Magy Seif El-Nasr,Associate Professor,https://www.khoury.northeastern.edu/people/magy-seif-el-nasr/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Magy-Seif-ElNasr-index-image.jpg
49,Abhi Shelat,Associate Professor,https://www.khoury.northeastern.edu/people/abhi-shelat/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/08/Shelat_Abhi-index-image.jpg
50,Olin Shivers,Professor,https://www.khoury.northeastern.edu/people/olin-shivers/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Olin-Shivers-index-image-e1456778933241.jpg
51,David Smith,Associate Professor,https://www.khoury.northeastern.edu/people/david-smith/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/David-Smith-index-image-e1456779166749.jpg
52,Ravi Sundaram,Professor,https://www.khoury.northeastern.edu/people/ravi-sundaram/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/03/Ravi-Sundaram-Index-Image.jpg
53,Frank Tip,Professor,https://www.khoury.northeastern.edu/people/frank-tip/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/08/Tip_Frank_linderpix-NEU-55674-crop.jpg
54,Stavros Tripakis,Associate Professor,https://www.khoury.northeastern.edu/people/stavros-tripakis/,https://www.khoury.northeastern.edu/wp-content/uploads/2017/08/linderpix-NEU-9206-crop.jpg
55,Jonathan Ullman,Assistant Professor,https://www.khoury.northeastern.edu/people/jonathan-ullman/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Jonathan-Ullman-index-image-e1456779392351.jpg
56,Jan-Willem van de Meent,Assistant Professor,https://www.khoury.northeastern.edu/people/jan-willem-van-de-meent/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/09/van-de-Meent_Jan-Willem-index-image.jpg
57,Alessandro Vespignani,Sternberg Family Distinguished Professor,https://www.khoury.northeastern.edu/people/alessandrovespignani/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/04/linderpix111915-avespignani-9987-crop.jpg
58,Emanuele Viola,Associate Professor,https://www.khoury.northeastern.edu/people/emanuele-viola/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/03/Emanuele-Viola-Index-Image.jpg
59,Jan Vitek,Professor,https://www.khoury.northeastern.edu/people/jan-vitek/,https://www.khoury.northeastern.edu/wp-content/uploads/2016/02/Jan-Vitek-index-image.jpg
