,Rent,Neighborhood,Title,Posting Date,Url,Bed/Bath
0,3600,Allston,Wonderful 3 bed 2 bath in Allston,Fri 11 Oct 04:04:43 PM,https://boston.craigslist.org/gbs/apa/d/boston-wonderful-3-bed-2-bath-in-allston/6989138973.html,3BR / 2Ba
1,1600,Boston,➡One bedroom apartment in a great location.,Fri 11 Oct 04:04:42 PM,https://boston.craigslist.org/gbs/apa/d/boston-one-bedroom-apartment-in-great/6997568171.html,1BR / 1Ba
2,2000,Malden,Malden - 2 Bedroom Apartment,Fri 11 Oct 04:04:38 PM,https://boston.craigslist.org/nos/apa/d/malden-malden-2-bedroom-apartment/6984485058.html,2BR / 1Ba
3,4000,Cambridge,"2 Bd on Cameron Ave., Pet Ok, 2 Bath, Laundry in Unit, New Appliances",Fri 11 Oct 04:04:30 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-2-bd-on-cameron-ave-pet-ok-2/6997567984.html,2BR / 2Ba
4,2600,Medford,"Medford - Luxury 2.5 BR Apt, Walk To Medford Sq, Pet Friendly",Fri 11 Oct 04:04:24 PM,https://boston.craigslist.org/nos/apa/d/medford-medford-luxury-25-br-apt-walk/6984481803.html,2BR / 1Ba
5,1800,Boston,"Beautiful, spacious one-bedroom condo",Fri 11 Oct 04:04:24 PM,https://boston.craigslist.org/gbs/apa/d/brighton-beautiful-spacious-one-bedroom/6997508485.html,1BR / 1Ba
6,3434,East Boston,Heated Pool/ Gym/ Front Desk 24/7 Updated Very Clean / Massage Parlor,Fri 11 Oct 04:04:23 PM,https://boston.craigslist.org/nos/apa/d/east-boston-heated-pool-gym-front-desk/6997538901.html,2BR / 2Ba
7,1979,Swampscott,"1 bed- Built-in Desks, Full-size Washer/Dryer, Granite Countertops",Fri 11 Oct 04:04:23 PM,https://boston.craigslist.org/nos/apa/d/swampscott-1-bed-built-in-desks-full/6997567849.html,1BR / 1Ba
8,1910,Swampscott,"1 bed- Dual Vanities, Custom Color Accent Walls, Stand-up Showers",Fri 11 Oct 04:04:20 PM,https://boston.craigslist.org/nos/apa/d/swampscott-1-bed-dual-vanities-custom/6997567807.html,1BR / 1Ba
9,2442,Swampscott,"2 bed- 4,500 sqft Resident Clubhouse, Dry Bars, Generous Closet Space",Fri 11 Oct 04:04:19 PM,https://boston.craigslist.org/nos/apa/d/swampscott-2-bed-sqft-resident/6997567784.html,2BR / 2Ba
10,2180,Quincy,"FREE RENT-SHUTTLE TO THE T, LUXURY COMPLEX",Fri 11 Oct 04:04:10 PM,https://boston.craigslist.org/gbs/apa/d/quincy-free-rent-shuttle-to-the-luxury/6997556906.html,1BR / 1Ba
11,3300,Boston,-4 bed 2 bath-All T lines--NO Broker FEE-Patio-Dishwasher-Ht/Hw incl--,Fri 11 Oct 04:04:05 PM,https://boston.craigslist.org/gbs/apa/d/brighton-4-bed-2-bath-all-lines-no/6997567579.html,4BR / 2Ba
12,2180,Quincy,FREE RENT AND ICE SKATING RINK!,Fri 11 Oct 04:03:46 PM,https://boston.craigslist.org/gbs/apa/d/quincy-free-rent-and-ice-skating-rink/6997567316.html,1BR / 1Ba
13,3000,Boston,"Lovely 2 Bd, 2 Ba, Fireplaces, Exposed Brick, Priv Deck, On T/Bus, Pix",Fri 11 Oct 04:03:46 PM,https://boston.craigslist.org/gbs/apa/d/boston-lovely-2-bd-2-ba-fireplaces/6997567319.html,2BR / 2Ba
14,2600,Cambridge,Nice 3 bed 1 bath in Cambridge,Fri 11 Oct 04:03:35 PM,https://boston.craigslist.org/gbs/apa/d/nice-3-bed-1-bath-in-cambridge/6992753254.html,3BR / 1Ba
15,1295,Boxborough,2 Bed Condo - Acton/Boxborough,Fri 11 Oct 04:03:34 PM,https://boston.craigslist.org/bmw/apa/d/boxborough-2-bed-condo-acton-boxborough/6997556373.html,2BR / 1Ba
16,4200,Somerville,Beautiful 4 bed 12 bath in Somerville,Fri 11 Oct 04:03:15 PM,https://boston.craigslist.org/gbs/apa/d/beautiful-4-bed-12-bath-in-somerville/6985963087.html,4BR / 2Ba
17,1950,Somerville,Beautiful 2 bed 1 bath in Somerville,Fri 11 Oct 04:02:57 PM,https://boston.craigslist.org/gbs/apa/d/beautiful-2-bed-1-bath-in-somerville/6986030038.html,2BR / 1Ba
18,2995,Boston,Sept 3 bed w/Parking-NO FEE-Steps to T-Ht/Hw incl-Dishwasher-,Fri 11 Oct 04:02:52 PM,https://boston.craigslist.org/gbs/apa/d/brighton-sept-3-bed-parking-no-fee/6997566614.html,3BR / 1Ba
19,2600,Malden,Large renovated 3 bedroom with off street parking available in Malden,Fri 11 Oct 04:02:51 PM,https://boston.craigslist.org/gbs/apa/d/malden-large-renovated-3-bedroom-with/6997566597.html,3BR / 1Ba
20,1935,Chelsea,"Commuters Dream, Pet Friendly, 2 miles to Boston, 1 Block from SL 3",Fri 11 Oct 04:02:30 PM,https://boston.craigslist.org/nos/apa/d/chelsea-commuters-dream-pet-friendly-2/6996127186.html,1BR / 1Ba
21,4000,Medford,"Amazing 5 bed 2 bath in Medford
",Fri 11 Oct 04:02:28 PM,https://boston.craigslist.org/gbs/apa/d/amazing-5-bed-2-bath-in-medford/6985037915.html,5BR / 2Ba
22,2400,Cambridge,"Kendall 2 bed, EIK, minutes to MIT ,Red Line-, top floor, laundry. NOW",Fri 11 Oct 04:02:27 PM,https://boston.craigslist.org/gbs/apa/d/cambridge-kendall-2-bed-eik-minutes-to/6997566298.html,2BR / 0Ba
23,2450,Brookline,"1 Bd Split on Babcock St., Laundry in Building",Fri 11 Oct 04:02:24 PM,https://boston.craigslist.org/gbs/apa/d/brookline-1-bd-split-on-babcock-st/6997566238.html,1BR / 1Ba
24,3400,Somerville,Beautiful 4 bed 1 bath  in Medford,Fri 11 Oct 04:02:02 PM,https://boston.craigslist.org/gbs/apa/d/beautiful-4-bed-1-bath-in-medford/6985116357.html,4BR / 1Ba
25,1999,Boston,Awesome & Sophisticated 1 bedroom,Fri 11 Oct 04:01:59 PM,https://boston.craigslist.org/gbs/apa/d/boston-awesome-sophisticated-1-bedroom/6979596088.html,1BR / 1.5Ba
26,2200,Boston,"2 Bd on Tremont St., Elevator, A/C, Granite Counter Tops, Microwave",Fri 11 Oct 04:01:59 PM,https://boston.craigslist.org/gbs/apa/d/newton-2-bd-on-tremont-st-elevator-c/6997565875.html,2BR / 1Ba
27,2180,Quincy,FREE RENT & FREE GARAGE PARKING!,Fri 11 Oct 04:01:47 PM,https://boston.craigslist.org/gbs/apa/d/quincy-free-rent-free-garage-parking/6997565740.html,1BR / 1Ba
28,2200,Cambridge,Amazing 1 bed 1 bath in Cambridge,Fri 11 Oct 04:01:31 PM,https://boston.craigslist.org/gbs/apa/d/amazing-1-bed-1-bath-in-cambridge/6990261585.html,1BR / 1Ba
29,1900,Natick,"2 BEDROOM 2 BATH/COMMUTER RAIL/MASS PIKE/ROUTE 9/POOL,ETC.",Fri 11 Oct 04:01:26 PM,https://boston.craigslist.org/bmw/apa/d/natick-2-bedroom-2-bath-commuter-rail/6997565450.html,2BR / 2Ba
30,2700,Allston,3 Bed on the Green Line.... NO FEE!!!,Fri 11 Oct 04:01:23 PM,https://boston.craigslist.org/gbs/apa/d/allston-3-bed-on-the-green-line-no-fee/6997564005.html,3BR / 1Ba
31,1550,Boston,Brookline/Allston line NO FEE Studio-Full Kitchen-Heated-On Train,Fri 11 Oct 04:01:18 PM,https://boston.craigslist.org/gbs/apa/d/brighton-brookline-allston-line-no-fee/6997565319.html,0BR / 1Ba
32,2150,Boston,"➡3 Bd on Shepard St., NO FEE",Fri 11 Oct 04:01:15 PM,https://boston.craigslist.org/gbs/apa/d/brighton-3-bd-on-shepard-st-no-fee/6997565282.html,3BR / 1Ba
33,3250,Brookline,"1 Bd, NO FEE, Fitness Center, Community Room, Elevator, Central Air",Fri 11 Oct 04:01:14 PM,https://boston.craigslist.org/gbs/apa/d/brookline-1-bd-no-fee-fitness-center/6980934282.html,1BR / 1Ba
34,1800,Watertown,2 BEDROOM/WATERTOWN/ HEAT AND PARKING INC/,Fri 11 Oct 04:01:12 PM,https://boston.craigslist.org/gbs/apa/d/watertown-2-bedroom-watertown-heat-and/6997565242.html,2BR / 1Ba
35,2300,Brighton,Pet Friendly First Floor Corner unit with Laundry!,Fri 11 Oct 04:01:09 PM,https://boston.craigslist.org/gbs/apa/d/brighton-pet-friendly-first-floor/6995120786.html,1BR / 1Ba
36,2000,Cambridge,Wonderful 3 bed 1 bath in Cambridge,Fri 11 Oct 04:01:07 PM,https://boston.craigslist.org/gbs/apa/d/wonderful-3-bed-1-bath-in-cambridge/6986600623.html,3BR / 1Ba
37,1350,Lowell,"Spacious Sun Filled 2BR w parking and balcony, UMASS",Fri 11 Oct 04:00:57 PM,https://boston.craigslist.org/nwb/apa/d/lowell-spacious-sun-filled-2br-parking/6997565046.html,2BR / 1Ba
38,3700,Somerville,"Gorgeous 3 bed 3 bath in Somerville
",Fri 11 Oct 04:00:33 PM,https://boston.craigslist.org/gbs/apa/d/gorgeous-3-bed-3-bath-in-somerville/6985994236.html,3BR / 3Ba
39,1900,Natick,2 BEDROOM 2 BATH/NATICK/ COMMUTER RAIL/GYM/POOL/TENNIS,Fri 11 Oct 04:00:33 PM,https://boston.craigslist.org/bmw/apa/d/natick-2-bedroom-2-bath-natick-commuter/6997564692.html,2BR / 2Ba
40,2699,Saugus,☆ Townhome In Saugus MA!!!,Fri 11 Oct 04:00:22 PM,https://boston.craigslist.org/nos/apa/d/saugus-townhome-in-saugus-ma/6997564542.html,3BR / 2.5Ba
41,1785,Stoughton,2nd Floor Executive Upgrade,Fri 11 Oct 04:00:12 PM,https://boston.craigslist.org/sob/apa/d/stoughton-2nd-floor-executive-upgrade/6997564404.html,1BR / 1Ba
42,1525,Stoneham,"1.5 Bd on Main St., Eat-in Kitchen,  H/W Floors  ok for cat parking",Fri 11 Oct 04:00:00 PM,https://boston.craigslist.org/gbs/apa/d/stoneham-15-bd-on-main-st-eat-in/6997557612.html,1BR / 1Ba
43,3822,Boston,One Bedroom Apartment available for rent,Fri 11 Oct 03:59:51 PM,https://boston.craigslist.org/gbs/apa/d/boston-one-bedroom-apartment-available/6981960015.html,1BR / 1Ba
