University,City,State,Population
New York University,New York City ,new york,51123
University of Southern California,Los Angeles,California,44000
Columbia University in the City of New York,New York City ,New York,32429
Northeastern University,Boston,Massachusetts,27260
University of Illinois,Champaign,Illinois,44087
Arizona State University,Tempe,ARIZONA,71946
Purdue University,West Lafayette,Indiana,41573
The Pennsylvania State University, Centre County,Pennsylvania,98783
University of California at Berkeley,Berkeley,california,41910
Boston University,Boston,Massachusetts,32551
