CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
571533282,12/31/18,17:05:00,12/31/18,17:15:00,10,12/31/18,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,,,,"984,623","209,859",UNKNOWN,WHITE,M,,40.7426993,-73.99865538,"(40.742699299, -73.99865538)",PATROL BORO MAN SOUTH,,<18,WHITE,M
820453504,12/31/18,15:35:00,12/31/18,15:40:00,40,12/31/18,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,,BUS (NYC TRANSIT),N.Y. POLICE DEPT,0,,,,"1,004,926","234,532",,,,,40.81039602,-73.92531074,"(40.810396019, -73.925310745)",PATROL BORO BRONX,,25-44,WHITE HISPANIC,F
113940766,12/31/18,4:30:00,12/31/18,4:50:00,49,12/31/18,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,"1,027,295","251,236",UNKNOWN,UNKNOWN,M,,40.85616296,-73.84439712,"(40.856162957, -73.844397124)",PATROL BORO BRONX,,18-24,WHITE HISPANIC,F
817554319,12/30/18,3:30:00,12/30/18,3:45:00,34,12/30/18,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,"1,002,106","249,501",25-44,WHITE,M,3,40.85148777,-73.93545797,"(40.851487774, -73.935457967)",PATROL BORO MAN NORTH,207 ST.-INWOOD,25-44,UNKNOWN,M
726764710,12/30/18,18:45:00,12/30/18,19:00:00,120,12/30/18,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,BUS (NYC TRANSIT),N.Y. POLICE DEPT,0,,,,"962,748","174,174",,,,,40.64472613,-74.07748316,"(40.644726131, -74.077483159)",PATROL BORO STATEN ISLAND,,25-44,ASIAN / PACIFIC ISLANDER,F
335078992,12/30/18,1:30:00,12/30/18,2:00:00,52,12/30/18,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,"1,017,542","255,919",45-64,WHITE,M,,40.86905853,-73.87963015,"(40.869058532, -73.879630148)",PATROL BORO BRONX,,<18,WHITE HISPANIC,F
921674031,12/30/18,13:30:00,12/30/18,13:50:00,84,12/30/18,233,SEX CRIMES, ,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,,,"989,013","192,652",UNKNOWN,BLACK,M,30,40.69546894,-73.98282508,"(40.695468941, -73.982825079)",PATROL BORO BKLYN NORTH,HOYT-SCHERMERHORN,18-24,BLACK,F
144194334,12/30/18,22:00:00,,,49,12/31/18,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,"1,027,295","251,236",45-64,BLACK HISPANIC,M,,40.85616296,-73.84439712,"(40.856162957, -73.844397124)",PATROL BORO BRONX,,<18,WHITE HISPANIC,F
420136921,12/29/18,23:00:00,12/30/18,8:00:00,32,12/30/18,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,"999,358","236,472",25-44,BLACK,M,,40.81573205,-73.94542041,"(40.815732053, -73.945420411)",PATROL BORO MAN NORTH,,18-24,BLACK,F
688826603,12/29/18,3:30:00,12/29/18,4:45:00,47,12/29/18,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,"1,026,387","262,634",UNKNOWN,UNKNOWN,U,,40.88745131,-73.84760779,"(40.887451313, -73.847607787)",PATROL BORO BRONX,,25-44,BLACK,F
